IFU-ICache,IFU-Branch Target Buffer,IFU-Instruction Buffer,IFU-BPT-Global Predictor,IFU-BPT-L1_Local Predictor,IFU-BPT-L2_Local Predictor,IFU-BPT-Chooser,IFU-BPT-RAS,IFU-BPT,IFU-Instruction Decoder,Instruction Fetch Unit (IFU),Load Store Unit,LSU-Data Cache,LSU-Load/Store Queue,MMU-Itlb,MMU-Dtlb,MMU,Execution Unit,EXU-Register Files,EXU-Integer RF,EXU-Floating Point RF,Instruction Scheduler,Int Inst Window,FP Inst Window,Integer ALUs,FPU,MUL,Bypass,iFRAT,fFRAT,ifreeL,ffreeL,RNU,unicache,BUSES,Core,Processor
1.33574e-12,1.83194e-13,1.32331e-05,1.31301e-05,8.38099e-07,6.27284e-07,1.31301e-05,1.75082e-06,2.94765e-05,0.000307281,0.00063104,0.00032399,1.87863e-12,0.000102273,6.01495e-05,2.28863e-05,0.000350033,0.000381705,3.15669e-05,3.15661e-05,8.07133e-10,0,0,0,0.000112785,2.24844e-08,0,0,0,0,0,0,0,0,0,0.00168677,0.00168677
1.36399e-12,1.87068e-13,1.32882e-05,1.31593e-05,8.39959e-07,6.28676e-07,1.31593e-05,1.74947e-06,2.95367e-05,0.000308558,0.000632433,0.000324519,1.91835e-12,0.000102802,6.03879e-05,2.29985e-05,0.000350383,0.000382292,3.16821e-05,3.16813e-05,7.97309e-10,0,0,0,0.000113257,2.22418e-08,0,0,0,0,0,0,0,0,0,0.00168963,0.00168963
1.3635e-12,1.87001e-13,1.33931e-05,1.32631e-05,8.46588e-07,6.33638e-07,1.32631e-05,1.763e-06,2.97695e-05,0.000310996,0.000635208,0.000325337,1.91767e-12,0.00010362,6.08793e-05,2.3184e-05,0.00035106,0.000383436,3.19332e-05,3.19324e-05,8.23905e-10,0,0,0,0.000114149,2.29517e-08,0,0,0,0,0,0,0,0,0,0.00169504,0.00169504
1.36304e-12,1.86938e-13,1.34965e-05,1.33951e-05,8.55012e-07,6.39943e-07,1.33951e-05,1.78628e-06,3.00715e-05,0.000313396,0.000638013,0.000326016,1.91701e-12,0.000104299,6.13451e-05,2.33397e-05,0.000351682,0.000384573,3.21932e-05,3.21924e-05,8.23625e-10,0,0,0,0.000115026,2.29439e-08,0,0,0,0,0,0,0,0,0,0.00170028,0.00170028
1.36304e-12,1.86938e-13,1.34965e-05,1.33951e-05,8.55012e-07,6.39943e-07,1.33951e-05,1.78628e-06,3.00715e-05,0.000313396,0.000638013,0.000326016,1.91701e-12,0.000104299,6.13451e-05,2.33397e-05,0.000351682,0.000384573,3.21932e-05,3.21924e-05,8.23625e-10,0,0,0,0.000115026,2.29439e-08,0,0,0,0,0,0,0,0,0,0.00170028,0.00170028
1.36304e-12,1.86938e-13,1.34965e-05,1.33951e-05,8.55012e-07,6.39943e-07,1.33951e-05,1.78628e-06,3.00715e-05,0.000313396,0.000638013,0.000326016,1.91701e-12,0.000104299,6.13451e-05,2.33397e-05,0.000351682,0.000384573,3.21932e-05,3.21924e-05,8.23625e-10,0,0,0,0.000115026,2.29439e-08,0,0,0,0,0,0,0,0,0,0.00170028,0.00170028
1.36304e-12,1.86938e-13,1.34965e-05,1.33951e-05,8.55012e-07,6.39943e-07,1.33951e-05,1.78628e-06,3.00715e-05,0.000313396,0.000638013,0.000326016,1.91701e-12,0.000104299,6.13451e-05,2.33397e-05,0.000351682,0.000384573,3.21932e-05,3.21924e-05,8.23625e-10,0,0,0,0.000115026,2.29439e-08,0,0,0,0,0,0,0,0,0,0.00170028,0.00170028
1.36304e-12,1.86938e-13,1.34965e-05,1.33951e-05,8.55012e-07,6.39943e-07,1.33951e-05,1.78628e-06,3.00715e-05,0.000313396,0.000638013,0.000326016,1.91701e-12,0.000104299,6.13451e-05,2.33397e-05,0.000351682,0.000384573,3.21932e-05,3.21924e-05,8.23625e-10,0,0,0,0.000115026,2.29439e-08,0,0,0,0,0,0,0,0,0,0.00170028,0.00170028
1.36304e-12,1.86938e-13,1.34965e-05,1.33951e-05,8.55012e-07,6.39943e-07,1.33951e-05,1.78628e-06,3.00715e-05,0.000313396,0.000638013,0.000326016,1.91701e-12,0.000104299,6.13451e-05,2.33397e-05,0.000351682,0.000384573,3.21932e-05,3.21924e-05,8.23625e-10,0,0,0,0.000115026,2.29439e-08,0,0,0,0,0,0,0,0,0,0.00170028,0.00170028
1.36304e-12,1.86938e-13,1.34965e-05,1.33951e-05,8.55012e-07,6.39943e-07,1.33951e-05,1.78628e-06,3.00715e-05,0.000313396,0.000638013,0.000326016,1.91701e-12,0.000104299,6.13451e-05,2.33397e-05,0.000351682,0.000384573,3.21932e-05,3.21924e-05,8.23625e-10,0,0,0,0.000115026,2.29439e-08,0,0,0,0,0,0,0,0,0,0.00170028,0.00170028
1.36304e-12,1.86938e-13,1.34965e-05,1.33951e-05,8.55012e-07,6.39943e-07,1.33951e-05,1.78628e-06,3.00715e-05,0.000313396,0.000638013,0.000326016,1.91701e-12,0.000104299,6.13451e-05,2.33397e-05,0.000351682,0.000384573,3.21932e-05,3.21924e-05,8.23625e-10,0,0,0,0.000115026,2.29439e-08,0,0,0,0,0,0,0,0,0,0.00170028,0.00170028
1.35934e-12,1.86431e-13,1.34605e-05,1.33592e-05,8.52719e-07,6.38226e-07,1.33592e-05,1.78148e-06,2.99908e-05,0.00031256,0.00063706,0.000325738,1.91182e-12,0.000104022,6.11814e-05,2.32777e-05,0.000351456,0.00038418,3.21074e-05,3.21066e-05,8.21393e-10,0,0,0,0.000114719,2.28817e-08,0,0,0,0,0,0,0,0,0,0.00169843,0.00169843
1.35934e-12,1.86431e-13,1.34605e-05,1.33592e-05,8.52719e-07,6.38226e-07,1.33592e-05,1.78148e-06,2.99908e-05,0.00031256,0.00063706,0.000325738,1.91182e-12,0.000104022,6.11814e-05,2.32777e-05,0.000351456,0.00038418,3.21074e-05,3.21066e-05,8.21393e-10,0,0,0,0.000114719,2.28817e-08,0,0,0,0,0,0,0,0,0,0.00169843,0.00169843
1.35934e-12,1.86431e-13,1.34605e-05,1.33592e-05,8.52719e-07,6.38226e-07,1.33592e-05,1.78148e-06,2.99908e-05,0.00031256,0.00063706,0.000325738,1.91182e-12,0.000104022,6.11814e-05,2.32777e-05,0.000351456,0.00038418,3.21074e-05,3.21066e-05,8.21393e-10,0,0,0,0.000114719,2.28817e-08,0,0,0,0,0,0,0,0,0,0.00169843,0.00169843
1.35934e-12,1.86431e-13,1.34605e-05,1.33592e-05,8.52719e-07,6.38226e-07,1.33592e-05,1.78148e-06,2.99908e-05,0.00031256,0.00063706,0.000325738,1.91182e-12,0.000104022,6.11814e-05,2.32777e-05,0.000351456,0.00038418,3.21074e-05,3.21066e-05,8.21393e-10,0,0,0,0.000114719,2.28817e-08,0,0,0,0,0,0,0,0,0,0.00169843,0.00169843
1.35934e-12,1.86431e-13,1.34605e-05,1.33592e-05,8.52719e-07,6.38226e-07,1.33592e-05,1.78148e-06,2.99908e-05,0.00031256,0.00063706,0.000325738,1.91182e-12,0.000104022,6.11814e-05,2.32777e-05,0.000351456,0.00038418,3.21074e-05,3.21066e-05,8.21393e-10,0,0,0,0.000114719,2.28817e-08,0,0,0,0,0,0,0,0,0,0.00169843,0.00169843
1.35934e-12,1.86431e-13,1.34605e-05,1.33592e-05,8.52719e-07,6.38226e-07,1.33592e-05,1.78148e-06,2.99908e-05,0.00031256,0.00063706,0.000325738,1.91182e-12,0.000104022,6.11814e-05,2.32777e-05,0.000351456,0.00038418,3.21074e-05,3.21066e-05,8.21393e-10,0,0,0,0.000114719,2.28817e-08,0,0,0,0,0,0,0,0,0,0.00169843,0.00169843
1.35934e-12,1.86431e-13,1.34605e-05,1.33592e-05,8.52719e-07,6.38226e-07,1.33592e-05,1.78148e-06,2.99908e-05,0.00031256,0.00063706,0.000325738,1.91182e-12,0.000104022,6.11814e-05,2.32777e-05,0.000351456,0.00038418,3.21074e-05,3.21066e-05,8.21393e-10,0,0,0,0.000114719,2.28817e-08,0,0,0,0,0,0,0,0,0,0.00169843,0.00169843
1.35934e-12,1.86431e-13,1.34605e-05,1.33592e-05,8.52719e-07,6.38226e-07,1.33592e-05,1.78148e-06,2.99908e-05,0.00031256,0.00063706,0.000325738,1.91182e-12,0.000104022,6.11814e-05,2.32777e-05,0.000351456,0.00038418,3.21074e-05,3.21066e-05,8.21393e-10,0,0,0,0.000114719,2.28817e-08,0,0,0,0,0,0,0,0,0,0.00169843,0.00169843
1.35934e-12,1.86431e-13,1.34605e-05,1.33592e-05,8.52719e-07,6.38226e-07,1.33592e-05,1.78148e-06,2.99908e-05,0.00031256,0.00063706,0.000325738,1.91182e-12,0.000104022,6.11814e-05,2.32777e-05,0.000351456,0.00038418,3.21074e-05,3.21066e-05,8.21393e-10,0,0,0,0.000114719,2.28817e-08,0,0,0,0,0,0,0,0,0,0.00169843,0.00169843
1.35934e-12,1.86431e-13,1.34605e-05,1.33592e-05,8.52719e-07,6.38226e-07,1.33592e-05,1.78148e-06,2.99908e-05,0.00031256,0.00063706,0.000325738,1.91182e-12,0.000104022,6.11814e-05,2.32777e-05,0.000351456,0.00038418,3.21074e-05,3.21066e-05,8.21393e-10,0,0,0,0.000114719,2.28817e-08,0,0,0,0,0,0,0,0,0,0.00169843,0.00169843
1.35454e-12,1.85772e-13,1.34172e-05,1.33135e-05,8.498e-07,6.36042e-07,1.33135e-05,1.77532e-06,2.98881e-05,0.000311554,0.000635909,0.000325408,1.90506e-12,0.000103691,6.09862e-05,2.32037e-05,0.000351187,0.000383712,3.20056e-05,3.20048e-05,8.18491e-10,0,0,0,0.000114353,2.28008e-08,0,0,0,0,0,0,0,0,0,0.00169622,0.00169622
